,title,department,location,employment_type,review_star,review_number,salary_value,salary_unit,state,description,annual_salary
355,financial accountant,victorian government,melbourne vic,,3.5,,,,vic,"reference: 39486 about jessie mcpherson private hospital jessie mcpherson private hospital (jmph) is a 103 bed tertiary level private hospital which has been co-located at monash medical centre clayton since 1987. our co-location with monash health provides a unique opportunity for access to world-renowned research and teaching facilities. jessie mcpherson private hospital also has a wider official specialist role for greater melbourne, regional victoria and interstate in such specialties as cardiology, cardiothoracic surgery, neuro-surgery, gastro-surgical, high acuity maternity and neonatal services. about the role the role requires a professional, experienced in supporting financial decision making by collecting, analysing, investigating and reporting financial and business data. the key responsibilities are: financial analysis and reporting; end of month processing and reconciliations; support annual budget build; respond to financial enquiries by gathering, analysing, summarising and interpreting data; support annual financial reporting process; accounts payable and receivables management; and other related duties as defined from time to time by the finance manager and director corporate services.  about you essential experience profile high degree of self-direction, initiative and motivation. excellent attention to detail. relevant tertiary qualification, minimum of bachelor of business/commerce with accounting specialty. professional qualification or working towards ca or cpa is desirable. relevant professional or business experience. strong ability to negotiate and influence others. excellent communication skills. highly developed problem solving and stakeholder management skills. self-managed and able to set and work towards deadlines/milestones. ability to work with stakeholders in the facilitation of solutions, and to develop engagement and understanding. demonstrated experience in systems and business analysis. stakeholder engagement/management. business requirements and process documentation. ability to work under pressure and deliver to tight time frames. ability to work collaboratively across organisational boundaries and build strong working relationships with customers, vendors and team members.  desired experience profile knowledge of the healthcare environment flexibility and adaptability demonstrated ability to meet objectives in a changing and face paced environment experience with operations and change management strategic thinking skills  monash health recognises the value of equal employment opportunity and is committed to patient safety and promoting fairness, equity and diversity in the workplace. at monash health we are relentless in our pursuit of excellence and work to our six guiding principles. preferred candidates will require a clear police check and a current working with children’s check prior to any offers of employment being made. as part of our selection process, you may be invited by email to participate in an on-camera video interview. please note, applications will be accepted via the monash health online mercury system only. email applications will not be considered.  favourite job print share 102 jobs are currently listed for monash health job type: not provided job classification: not provided contact: michelle huynh - 9594 3944 michelle.huynh2@monashhealth.org",
356,data engineer,servian,melbourne vic,permanent,3.7,3.0,,,vic,"applications open from: 15 may 2019 - 15 june 2019 we’re looking for outstanding data engineers at all levels to join our team in melbourne. you’ll join a consulting firm that offers a variety of projects with structured learning and development paths. the opportunity this is a great opportunity for data engineers to join a consulting firm that offers a variety of projects and structured learning and development paths. you will work alongside talented teams of consultants who share your passion in building great solutions and learning new skills. about you as a data engineer, you bring hands-on experience in building data workloads: infrastructure and software which use data to generate business value. you have experience working with at least a few of the following concepts and technologies: data movements are about bringing the right data to the right places. this could be data integration tools (informatica, talend, matillion, nifi) or data processing frameworks (spark, beam, ksql) using a range of programming languages (java, python, scala). data stores are about finding a home for your data. ranging from relational databases (mysql, postgres, sql server) and warehouse appliances (teradata, netezza, exadata) to data platforms (cloudera, databricks, aws emr) and cloud-based warehouses (bigquery, redshift, azure sql dw, snowflake). data serving is about providing usable data to people and systems. this covers topics such as event- and schedule-driven workflows, serialisation formats, data modelling and architecting for performance. you might have some exposure to the following: data governance - building integrity and trust in data information security - confidentiality, integrity and availability of data devops - practices and tools which accelerate delivery cloud-native computing - infrastructure as code, serverless computing, and more contemporary data architectures - data lakes, nosql stores, data fabrics you also bring these values to the team: curious and eager to learn: you are a curious individual who is eager to develop their skills and progress their career at every opportunity in a consulting environment team player: you thrive as a part of high performing teams and love sharing your knowledge with your peers and clients. what you can expect learning & development: as a naturally curious individual, you will have many opportunities to develop your technical and consulting skills. we run internal training on a weekly basis (knowledge sharing sessions, focus groups and our own toastmasters club!) as well as encourage and sponsor certifications. variety of projects: as a consultant, you will have the opportunity to work across multiple projects across our client base significantly increasing your skills and exposure in the industry. career progression: as a consulting firm, our leadership team is continually looking for technologists who want to develop their careers as people leaders and as senior advisors. you will have an opportunity to build your consulting skills as part of our team. about us servian is a professional services firm that puts our people at the heart of our strategy. we help customers challenge the status quo by working with them on implementing new and emerging technologies whilst enabling our consultants to continue to learn and acquire new skills. our business is structured across five key practices: data & analytics - bi/dw, big data analytics, data engineering, data science and advanced analytics artificial intelligence - natural language processing, computer vision, machine learning, deep learning customer engagement - marketing campaigns, campaign analysis, customer insights digital - full stack development, ui/ux design, mobile development cloud & technology - cloud services (aws, azure, google cloud platform), managed services alongside the above, we also provide employees with life and salary insurance and a sociable workplace that values its diversity. friday evenings in our offices consists of a variety of board games, pool playing, music, and a high level of entertaining and thought-provoking conversations. if you’re looking for the opportunity to step up into a leadership position and are excited by the thought of getting your hands dirty with the latest tech-stacks/methodologies, then look no further! apply now!",
357,senior data scientist,foxtel,moonee ponds vic,,3.7,,,,vic,"senior data scientist apply nowjob no: 494660 work type: full time location: north ryde, moonee ponds categories: analytics & insights foxtel’s purpose is to bring home australia’s most valued entertainment experience. whether it’s a blockbuster sports match, a must-see reality episode, an election special, the newest hit movie or the most ambitious drama, foxtel brings together the best of tv and on demand for our customers. we work as a team, we’re agile and we’re accountable. we put the customer first and we’re passionate about what we do. we have fun and we’re different, better, special. our data & analytics department is seeking a senior data scientist to solve foxco commercial and customer problems by the application of data science.  your mission lead components of the design, implementation and management of the data science capability across foxco articulate customer and commercial benefit through use of data and analytics capability significantly contribute to the development and implementation of the data science roadmap provide proactive research into emerging trends, utilising your understanding of market context as well as your own network of advisors lead the delivery of data science projects assist with the development, management and application of the catalogue of data science services proactively create new and innovative data science services contribute to the ‘program of innovation’, providing business opportunities and further development to your team deliver accurate and practical data science solutions, articulating the commercial impact and actionable recommendations lead a team and drive processes improvements your capability master’s degree in data science, computer science, engineering, economics, statistics, mathematics or actuarial studies 4+ years’ experience in a senior role within a data science or advanced analytics team proven track record delivering complex data science solutions with material commercial benefit highly proficient coding skills across at least 2 of either r/python/sql, with the ability to articulate and demonstrate good coding practices expert in data preparation and manipulation highly proficient across many standard and cutting-edge statistical/predictive/machine learning/supervised and unsupervised techniques an advanced user of data visualisation techniques to tell the story of data. tools including (but not limited to) plotly, ggplot2, matplotlib, ms excel, ms powerpoint, tableau a creative problem solver with an inquisitive nature ability to communicate well and discuss complex topics with both technical and business audiences self-sufficient in managing projects end-to-end with moderate support what’s in it for you? at foxtel you will have the opportunity to work with authentic leaders and teams that put our customers at the centre of everything we do and thrive on achieving things together. you’ll also receive a free foxtel subscription and discounted broadband. on top of that, you’ll enjoy a range of exclusive benefits across health, wellbeing, personal and professional development, partner discounts and unique experiences. above all, we’re passionate about entertainment and, if you are too, you’ll love working with us. so if you’re excited about this opportunity, please click ‘apply now’.  a note to recruitment agencies - we have this role covered. there is no need to get in touch, we do not accept unsolicited agency resumes and we are not responsible for any fees related to unsolicited resumes. advertised: 12 apr 2019 aus eastern standard time applications close: 23 aug 2019 aus eastern standard time back to search results apply now |",
358,economist,,melbourne city centre vic,,,,,,vic,"the economic policy group provides advice on macroeconomic conditions and policy; energy, environment and resources policy; and regulation, planning and local government policy. several ongoing opportunities exist for economists and senior economists in the macroeconomic strategy team. in these roles, you will: work constructively as part of a team to produce advice on complex issues including current and future macroeconomic conditions. prepare high-quality advice on the economy and the latest economic data to key stakeholders, often under tight deadlines. use modern data visualisation tools and mapping techniques to enhance economic data presentations. use quantitative and qualitative techniques to undertake research on the economy, and to update and maintain economic forecasting models. maintain effective relationships with internal and external stakeholders. to discuss this role further, please contact craig michaels on 9651 2035. your application should include a current resume and a cover letter (maximum of three pages) outlining your skills, knowledge and capabilities relating to this opportunity. applicants are not required to submit a separate statement addressing the key selection criteria. applications close on midnight 23 august 2019. you can apply by selecting the ‘apply now\' button",
359,data engineer,cook medical,eight mile plains qld,,3.4,,,,qld,"cook medical, a global organisation in interventional medicine, is at the forefront of medical research and product development in minimally invasive health care devices. to support our continuing growth, we seek the services of an experienced data engineer to join the it team in our australian head office at eight mile plains, brisbane. about this role: the data engineer develops, implements and documents data systems that provide the technical solutions to meet specifications and business requirements defined by company objectives to promote effective, efficient, and compliant operations. responsibilities work as part of a project team to define and document data and data pipelines for a variety of solutions technical responsibility for data and data pipelines to ensure compliance with data standards, architectural standards, and achievement of documented requirements develop and maintain current state documentation and deliverables for data solutions maintain existing and new data solutions to ensure that they continue to meet user needs provide assistance to operational teams to ensure that they continue to meet user needs work with the data engineering community of practice to identify and implement continuous improvement opportunities qualifications bachelor’s degree in computer science (or related discipline) or demonstrable relevant experience experience with relational sql and nosql databases; experience with sql server, oracle, and/or mongodb preferred experience building data transformations, data structures, and data pipelines experience with data integration tools experience with object-oriented/object function scripting languages demonstrated ability to meet deadlines, balancing multiple priorities, and ensuring quality standards analytical approach to problem solving with innovative thinking (as applicable) highly organized with a focus on attention to detail proficient in english (reading, writing and speaking) must work and interact effectively and professionally with and for others throughout various levels of the global organization excellent problem solving skills and ability to work in collaborative and independent work situations and environments with minimal supervision cook can offer: an opportunity for you to join a company who is committed to improving medical care an attractive package including monthly bonus outstanding staff benefits including top hospital health cover cook as an employer: founded in 1963, cook medical pioneered many of the medical devices now commonly used to perform minimally invasive medical procedures throughout the body. today, the company integrates medical devices, drugs and biologics to enhance patient safety and improve clinical outcomes. since its inception, cook has operated as a private corporation. the australian head quarters is located in the brisbane technology park, eight mile plains, brisbane. our manufacturing operation is steadily growing and manufacturing more complex devices for our global markets. cook medical employs over 10,000 employees worldwide, operates directly in 39 countries and delivers products to 135 countries around the world. cook medical consists of nine business units and has over 7,000 products in stock. the future of medical care has never been more exciting. please note only applicants that have full working rights within australia are eligible to apply. shortlisting may commence immediately after advertisement posted.",
360,match reporter,,melbourne vic,commission,,,,,vic,"we are looking for match reporters who are able to communicate basic information over the phone to our call center.we are a leading sports data provider and need reporters to cover matches in state league football (soccer) around the country. all training will be provided over skype and through documents, and coverage will be through your mobile phone at venues close to you.pay is between 60-70 eur ($80-90) per match, depending on the league that is being covered, and on some occasions two games can be covered in one day.please note: this is not a journalist position and all people eligible to work in australia can apply.job type: commission",
361,casual landfill attendant,,new england nsw,casual,,,22.98,hour,nsw,"casual landfill attendant  glen innes severn council position description  position title: casual landfill attendant position number: wm07 department: development, planning and regulatory services section: regulatory and planning services location: various reports to: waste and resource recovery coordinator grade: 2 band and level: operational band, level 2 current status: casual salary range (ph): from $22.98 per hour (plus casual loading) current occupant:  prepared/revised by: helen stapleton, human resources officer (payroll) date: 6 august 2019 approved by: graham price, director of development, planning & regulatory services date: 6 august 2019 other conditions and \uf0b7 $1.13ph adverse working conditions allowance benefits:  child-related this position does not involve child-related employment as defined in the employment child protection (prohibited employment) act 1998.  council the employee who occupies this job must be knowledgeable about codes and rules council\'s code of conduct and other policies and organisation rules that affect his or her employment. it is a requirement of the job that these codes, policies and rules are followed. work health and the employee who occupies this job must be knowledgeable about safety council\'s safety policy and procedures as described in the organisation\'s work health and safety (whs) management plan. he or she must comply with relevant whs policies and procedures and act in a manner that ensures the health and safety of all persons in the workplace.  of 6 approved: ________________ date: 6 august 2019 supervisor / employee: ______ ______ position description: casual landfill attendant job summary directs and coordinates landfill activities concerned with solid waste disposal at the glen innes and rural landfill sites, by performing the following duties. duties and responsibilities  essential duties and responsibilities include the following: the duties and responsibilities listed here are considered essential to achieving the primary objectives of this job. other duties consistent with the functions and role of the position may be assigned. \uf0de maintains a current awareness of council landfill protocols and procedures, as set out in council’s relevant landfill management plan. \uf0de promotes the image of the council in a positive manner and actively works to promote good public relations. \uf0de ensures the provision of a high level of customer service, including providing timely feedback to customers, ensuring that the “loop is closed” and that excellence in customer service is achieved. \uf0de provides courteous, clear and accurate information and directions to users of the landfill site to control the disposal of waste materials in accordance with council’s landfill management plan. \uf0de controls traffic movements in and around landfill areas to direct incoming vehicles to dumping areas and ensure safe and orderly usage of the centre by all persons. \uf0de examines loads of waste for recyclable material to control waste disposal activities and minimise the quantity of recyclable materials going into the landfill, including providing advice to customers and assisting them to identify and sort recyclables. \uf0de examines vehicle and trailer cargos to identify and prevent hazardous wastes from entering council’s landfill site. \uf0de ensures that waste disposal activities conform to relevant public health and environmental regulations as specified in council’s landfill management plan, and reports potential breaches of regulations to the supervisor. \uf0de identifies hazards at the landfill site and removes / controls hazards to maintain a safe environment, or promptly reports hazards to the supervisor. \uf0de collects landfill fees and charges, issues receipts as required, and ensures that cash takings balance against receipts issued at glen innes landfill. \uf0de operates the vehicle weighbridge at the landfill site, recording and maintaining data at glen innes landfill. \uf0de records all accidents and incidents at the landfill site and reports such incidents promptly to the supervisor. \uf0de observes housekeeping standards and maintains the landfill and surrounding areas by removing stray waste from non dumping areas and returning it to the landfill.  of 6 approved: ________________ date: 6 august 2019 supervisor / employee: ______ ______ position description: casual landfill attendant \uf0de  confers with the supervisor to arrange for council staff or contractors to bury, cover, compact and/or transfer waste materials as required. \uf0de completes standard forms to maintain records of vehicle movements and waste quantities in accordance with council and department of environment and climate change (decc) requirements, and provides periodic reports to council’s director of development, regulatory and sustainability services. \uf0de maintains other records relevant to the duties of the position, such as timesheets, work schedules and maintenance logs. \uf0de participates in training as required to fulfil the responsibilities of the position. additional duties include the following: the duties listed here are not essential for achieving the primary objectives of the job, but do form part of the job\'s function. other duties may be assigned. \uf0de assists new staff or trainees to learn aspects of the job, including equipment operation, record keeping and safety measures. \uf0de relieves at all landfill sites within the glen innes severn council area as required, including collecting and balancing fees and charges. supervisory responsibilities this position has no supervisory responsibilities. financial authority this position has no authority to approve expenditure or control the way in which money is spent. physical demands the physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.  while performing the duties of this job, the employee is frequently required to talk and hear in a work environment with generally low to moderate levels of background noise; and use hands and arms to perform routine maintenance tasks and operate plant and equipment.  sufficient personal mobility is required to enable the employee to move easily over surfaces that are often rough, uneven or slippery. the employee is frequently required to stoop, kneel, crouch or crawl to perform the duties of the job.  the employee must regularly lift and move objects up to 20 kilograms in weight, and is occasionally required to lift and move objects up to 40 kilograms in weight, using safe lifting techniques.  specific vision requirements for this job include close vision for reading and writing, plus distance vision, peripheral vision and depth perception adequate for the safe supervision of landfill areas. work environment the work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.  while performing the duties of this job, the employee is regularly exposed to outside weather conditions and ultra-violet (uv) radiation. he or she is frequently exposed to fumes or airborne  of 6 approved: ________________ date: 6 august 2019 supervisor / employee: ______ ______ position description: casual landfill attendant particles of a non-toxic nature and wet or humid conditions. the employee may be occasionally exposed to toxic or caustic chemicals. the noise level in the work environment is usually quiet to moderate.  casual landfill attendant person specification  position title: casual landfill attendant position number: wm07 section: regulatory and planning services  education, skills and experience to perform this job successfully, an individual must be able to perform each essential duty satisfactorily. the requirements listed below are representative of the knowledge, skill, and/or ability required. reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.  education and experience completion of high school up to year 10, with six months relevant work experience; or the equivalent combination of education, experience and / or training. language skills ability to read and interpret documents such as safety rules and procedure manuals. ability to accurately record information in written or numerical form. ability to effectively present information and respond to questions from managers, customers and the general public. mathematical skills ability to add, subtract, multiply and divide in all units of measure, using whole numbers, common fractions and decimals. ability to calculate figures and amounts involving quantities, weight, volume, distance and area.  reasoning ability ability to collect data, establish facts and draw valid conclusions. ability to interpret a variety of instructions in oral or written form.  computer skills basic computer skills may be required for this position. other skills and abilities \uf0de  ability and willingness to work weekends on a regular basis.  of 6 approved: ________________ date: 6 august 2019 supervisor / employee: ______ ______ position description: casual landfill attendant selection criteria applicants should carefully address all criteria in their applications. to be recommended for appointment, applicants must demonstrate that they meet the essential criteria. position specific selection criteria  essential \uf0de effective interpersonal and oral communication skills. \uf0de ability to read and comprehend written instructions and procedures and accurately complete landfill records and other routine forms. \uf0de ability to accurately calculate and / or estimate the quantity, weight and volume of materials. \uf0de ability and willingness to work weekends on a regular basis. \uf0de class c driver’s licence (car licence).  desirable \uf0de previous work / experience in landfill operations. \uf0de landfill operators course. \uf0de experience in handling and balancing cash transactions.  of 6 approved: ________________ date: 6 august 2019 supervisor / employee: ______ ______",45960.0
362,project officer - supported temporary accommodation,catholiccare diocese of broken bay,australia,temporary,4.2,34.0,,,aus,"work on the central coast work with a great organisation that assists people when most in need full-time permanent position access to excellent salary packaging benefits about the program join our vibrant, faith-based agency providing innovative social care services to 14,000+ children, young people, individuals and families in the northern metropolitan sydney and on the central coast. we are seeking a project officer to join our supported temporary accommodations (sta) team located on the central coast. this position exists to assist the project manager to develop and implement a 7 day a week and after-hour crisis response service to all homeless qualifying for temporary accommodation in the wyong and gosford areas. some of your responsibilities will include: reviewing sta procedures and discussing with coordinator any possible changes needed; engagement with clients to provide crisis accommodation develop relationships with preferred accommodation providers and external stakeholders; compliance with all government and reporting requirements for program adherence including data collection; as well as other duties specified in the attached position description. about you to be considered for this role you will : have tertiary qualifications in a related area such as social work, social science, psychology and/or demonstrated industry experience; be able to demonstrate an understanding of homelessness and its complexities; have an ability to work effectively with individuals in a crisis management process which includes undertaking assessments and reviewing case plans; possess excellent verbal and written communication skills; hold a valid working with children check clearance; have a valid nsw driver’s licence; as well as other criteria specified in the attached position description. working with catholiccare catholiccare offers a range of initiatives to actively promote your life/work balance and development of our employees through: working for a not for profit organisation who strive for a world where people are safe, happy, well and connected with each other in inclusive communities; great training and learning opportunities to help further your career; an employee assistance program offering free and confidential counselling and support; salary packaging benefits to receive up to $15,900 of your salary tax-free, as well as additional meal and entertainment benefits. to apply if you are a passionate person who realises the tremendous opportunity that this role offers and want to utilise your skills and passion in a rewarding environment, we want to hear from you! please provide a cover letter addressing the role requirements, complete your work history and education information on the application page and submit your resume. we encourage and welcome applications from aboriginal and torres strait islander people. please apply by 11 august 2019. apply now! catholiccare is a child-safe and child-friendly organisation – all staff must comply with our child-safe child-friendly policies and code of conduct. all child related roles are subject to a satisfactory working with children check clearance in accordance with the relevant provisions of the child protection (working with children) act 2012. completing a national criminal history record check clearance is a requirement of this position no recruitment agencies please",
363,data entry - procura,klc recruitment,east melbourne vic,,,,,,vic,"mount waverley location mid august start casual role we are currently seeking a strong data entry administrator to work with our client for a 2 week assignment, providing unrivalled support across administration, customer service and finance. to be successful in this role you must have; experience using procura data base in day view and timekeeping view experience using excel demonstrated experience dealing with confidential client information the ability to sit and focus for long periods of time and not mind repetition high attention to detail, processes and procedures working with children check card for employees is essential if this sounds like the ideal role for you and you meet all the above requirements please apply now or call klc recruitment on 9857 6756",
364,product owner - brand extensions,jetstar au,melbourne vic,contract,,,,,vic,"location: melbourne, australia work type: fixed term contract 12-month fixed term contractadvertising closes 25th august at jetstar we thrive on innovation. we work as a team, we’re agile and we deliver great experiences for our customers. we’re looking for a digital product owner in a role that is responsible for the strategic evolution of our non-flight related products across our digital channels. responsible for shaping the roadmap, this role will work closely with other product owners and product managers to explore new concepts and ensure the delivery of new and innovative initiatives that are aligned with the broader customer strategy. you will be accountable for leading and maximizing the business value of two separate squads, prioritizing the backlog, and communicating the why, what and when to key stakeholders across the business. your role will see you: define and deliver a robust roadmap of initiatives across the brand extensions suite of products (insurance, ground transport, credit cards and hotels)take product concepts from idea through validation, development, measurement and iterationwork as part of an autonomous agile team alongside experienced bas, designers, developers, qas, content writers and scrum mastersbuild the ongoing health of two digital squads to ensure they are set-up to deliver end-to-end outcomeswork with business stakeholders to understand what needs to be achieved by each of the products and champion a customer first mindset. your capability and skills: in-depth understanding of product management and digital deliveryexpert knowledge in digital best practice and the digital ecosystem – customer experience, human centered design, funnel optimisation, and strategy implementationexperience in digital optimisation to deliver the best customer experience and roi, including data analysis and reporting to drive the insight, experience improvement and strategyexpertise in enhancing digital products and building new capability while developing efficient processes and working models along the journeya passion for consumer behaviour, experience research and designstrong commercial acumenprevious experience in ux preferred. about us the jetstar group has airlines in australia, new zealand, singapore, japan and vietnam. since launch in 2004, we have grown from a team of 700 to 7,600 and have flown more than 250 million passengers. collectively we now offer more than 5000 flights a week to more than 85 destinations in 17 countries and territories across the asia pacific region, with a fleet of more than 130 aircraft. our culture jetstar is alive with a sense of adventure. day in and day out, our teams search for new places to fly, new ways to add value and new ideas to improve performance. if you love the road less travelled, you’ll love working here because ours is a team who innovate every day, thrive ondelivery, support each other and celebrate our successes. you’ll be supported to challenge, anticipate and explore while you work will connect people and enrich lives. we encourage diversity and aim to create an environment where our employees feel valued, respected and enabled. our benefits team members have access to heavily discounted fares to destinations all over the world – not only for team members, but for their favourite travel companions too. our staff travel benefit includes discounts on airfares, accommodation, car hire and travel insurance for both domestic and international travel. discounts can be used within the jetstar group airlines, qantas and other partner airlines. reference number: r64271 contact details: company: jetstar date posted: 16/08/2019 5:01:00 pm",
365,data modeller,culture amp,melbourne vic,,,,,,vic,"who we are what do airbnb, kind and salesforce have in common? they use culture amp every day to make their workplaces better and grow highly engaged employees. they also make up a community of over 2,000 organizations from around the globe who stand together to change the world of work. with offices in melbourne, san francisco, new york, and london, culture amp isn’t just for fast-growing startups - we’re for every organization that wants to put culture first. by making it easy to collect, understand, and act on employee feedback, we enable people teams to make better decisions, demonstrate impact, and turn company culture into a competitive edge. it’s what makes us the world’s leading employee feedback platform. the opportunity at culture amp we are looking for a data modeller to unlock maximum value from our data and analytics platform. in this role, you’ll work with our core stakeholders, both technical and non-technical to: gather and document data requirements throughout the business prioritise a backlog of work and communicate progress to relevant stakeholders prepare the data for business intelligence by applying business rules and applying appropriate modelling techniques document our data so everyone knows what it means and how to use it partner with our data engineers to ensure our data pipelines are working as expected and are sourcing the required data be ready to tune our query engines (redshift, spark, presto) when the need arises coach others on how best to use data to make decisions  what skills you\'ll bring to the culture amp ability to work with different stakeholders to understand the data and make it useful understanding of data modelling techniques including strong experience building star schemas and publishing them for business intelligence advanced sql across at least two different database engines experience working with semi-structured database data demonstrated experience with business intelligence tools such as tableau or power bi working with complex, data governance requirements the following skills are highly advantageous, but not all are required for the role. familiarity with code-based etl orchestration tools such as airflow experience working with streaming data ingestion systems, such as kafka or kinesis knowledge of cloud solutions for big data, especially on aws familiarity with redshift, presto and spark experience building tracking plans for digital analytics tools experience with digital analytical tools such as google analytics, adobe analytics, mixpanel or amplitude how to apply to apply for this role, please address 3 of the following bullet points in your cover letter. a few sentences is fine: what is a star schema and why is it useful? in your experience, what has been a common impediment to the adoption of business intelligence systems? how can this be mitigated? what is pseudonymisation and why is it important? what does it mean to “separate storage from compute”? why is this useful? and when might it be a bad idea? what are the merits of a digital analytics tool such as google analytics versus a business intelligence tool such as tableau?",
366,research assistant in youth mental health,university of melbourne,parkville vic,contract,4.4,81.0,84947.5,year,vic,"job no: 0048990 work type: fixed term location: parkville division/faculty: faculty of medicine, dentistry and health sciences department/school: centre for youth mental health salary: $72,083 - $97,812 (level a) role & superannuation rate: academic - part time - 9.5% super  orygen, the national centre of excellence in youth mental health (orygen) is the world’s leading research and knowledge translation organisation focusing on mental ill-health in young people. at orygen, our leadership and staff work to deliver cutting-edge research, policy development, innovative clinical services, and evidence-based training and education to ensure that there is continuous improvement in the treatments and care provided to young people experiencing mental ill-health. the company has three members: the colonial foundation, the university of melbourne and melbourne health. the university of melbourne has an agreement with orygen for designated employees to be made available to undertake activities for orygen, and this arrangement will apply to you. university employees working at orygen are required at all times to continue to adhere to university policies, procedures, regulations and statutes, as well as to orygen policies and procedures (including orygen’s delegations of authority framework which can be found at http://staff.orygen.org.au/), but the university’s policies and procedures shall prevail in the event of any inconsistency. for the period of participating in activities at orygen, you will be subject to the reasonable control and direction of orygen. you consent to the university disclosing to orygen your personal employment information solely for the purposes of facilitating your secondment to orygen, and that such disclosure will not be a breach of any of your privacy rights. the research assistant is responsible for recruiting trial participants, conducting interviews and assessments, collecting and recording accurate study data and developing and maintaining effective working relationships with a range of stakeholders. the successful incumbent may be required to work on other trials within different projects. this position reports to the project manager and the lead study investigator. to ensure the university provides a safe environment for children, this position requires the incumbent to hold a current and valid working with children check. for information to assist you with compiling short statements to answer the selection criteria, please go to: https://about.unimelb.edu.au/careers/selection-criteria orygen is an equal opportunity employer. we are dedicated to attracting, developing and retaining our staff irrespective of gender identity, ethnicity, sexual orientation, disability and age. applications are encouraged from all sectors of the community. we strongly encourage applications from the aboriginal and torres strait islander community. advertised: 12 aug 2019 12:00 am aus eastern standard time applications close: 25 aug 2019 11:55 pm aus eastern standard time",84947.5
367,analyst programmer,alfred health,melbourne vic,permanent,4.0,7.0,,,vic,"alfred health alfred health is a leader in health care delivery, improvement, research and education. we are the main provider of health services to people living in the inner southeast suburbs of melbourne, from ambulatory, to inpatient and home and community based services. analyst programmer full time – 76 hours per fortnight permanent on going position classification code jb13 excellent professional development opportunities amazing benefits department the information development division supports and maintains ict across alfred health. services include helpdesk, desktop support, telecommunications (phones, mobiles, pagers), nurse call, security systems, server and network support, application support for enterprise systems, business analysis, project management, it training, visual communications. over fifty technical staff supports an environment comprising over 4000 network-connected desktop computers and over 200 servers. in addition, it services manages the wide area network and data centres for several other health services. position summary: the incumbent will support alfred health’s emr team to maintain, support and enhance core applications that are used iin the emr. the applicant should be highly skilled in software engineering techniques including previous experience in the use of functional and object oriented technologies.  qualifications/experience required: university degree in computer science (equivalent) or higher qualification and work experience with a minimum of 4-5 years (as a guide) programming experience with exposure to systems design/web programming, reports and querying relational databases, oracle and sql. working knowledge of cerner systems used in the emr highly developed organisational, analyst, communication and interpersonal skills benefits access to salary packaging and novated leasing health and wellbeing initiatives in addition to discounted health insurance applications for more detail on the role, please download the relevant position description. for further queries please contact: christopher john on 03) 9076 3988",
368,reintegration program facilitator,corrections victoria,ararat vic,contract,4.3,8.0,76262.0,year,vic,"a great opportunity now exists for a suitably experienced professional to join our team as a reintegration program facilitator at hopkins correctional centre in ararat. about us hopkins correctional centre is a male medium security facility, focused on preparing prisoners for their transition back into the community. about the role the reintegration program facilitator is responsible for the development, delivery and evaluation of a range of group and individual program activities that are aligned to the transitional, personal development and reintegration needs of prisoners. in this role, you will: deliver programs in conjunction with service delivery providers, including co-facilitation with stakeholders and partners and monitoring service delivery to ensure achievement of outcomes maintain appropriate data collection to inform the planning, development, implementation and evaluation of programs and services delivered facilitate group support sessions to offenders and provide individual sessions when required. about you as our ideal candidate, you will have experience in program development, delivery and evaluation. your creativity, excellent interpersonal skills and commitment to support and develop others, will help you to be highly successful in the role.",76262.0
